") for {0}","{0} üçün )"
"A {0} exists between {1} and {2} (","{1} və {2} arasında {0} mövcuddur ("
"Absent","Qayıb"
"Accrual Journal Entry for salaries from {0} to {1}","{0} - {1} tarixləri arası maaşlar üçün Hesablama Jurnalı Qeydi"
"Add to Details","Detallara əlavə et"
"Added to details","Detallara əlavə edildi"
"All Jobs","Bütün Vakansiyalar"
"Allocated Leaves","Təyin edilmiş Məzuniyyətlər"
"Annual Salary","İllik Əmək Haqqı"
"Application period cannot be across two allocation records","Müraciət dövrü iki təyinat qeydi arasında ola bilməz"
"Application period cannot be outside leave allocation period","Müraciət dövrü məzuniyyət təyinatı dövründən kənar ola bilməz"
"Apply Now","İndi Müraciət Et"
"Apprentice","Şagird"
"Approval Status","Təsdiq Statusu"
"Approval Status must be 'Approved' or 'Rejected'","Təsdiq Statusu 'Təsdiqləndi' və ya 'İmtina edildi' olmalıdır"
"As per your assigned Salary Structure you cannot apply for benefits","Təyin olunmuş Əmək Haqqı Strukturunuza əsasən, siz müavinətlər üçün müraciət edə bilməzsiniz"
"Assign","Təyin et"
"Assign Salary Structure","Əmək Haqqı Strukturu Təyin Et"
"Assign to Employees","İşçilərə Təyin Et"
"Assigning Structures...","Strukturlar təyin edilir..."
"Attendance","Davamiyyət"
"Attendance From Date and Attendance To Date is mandatory","Davamiyyət Başlanğıc Tarixi və Bitiş Tarixi məcburidir"
"Attendance for employee {0} is already marked for this day","{0} adlı işçi üçün bu günə davamiyyət artıq qeyd edilib"
"Attendance not submitted for {0} as it is a Holiday.","{0} üçün davamiyyət təqdim edilmədi, çünki bu gün Tətildir."
"Bank Entries","Bank Qeydləri"
"Base","Baza"
"Beginner","Yeni başlayan"
"Birthday Reminder","Ad Günü Xatırlatması"
"Bonus Payment Date cannot be a past date","Bonus Ödəniş Tarixi keçmiş tarix ola bilməz"
"Calls","Zənglər"
"Cannot find active Leave Period","Aktiv Məzuniyyət Dövrü tapılmadı"
"Casual Leave","Gündəlik Məzuniyyət"
"Claimed Amount","Tələb Edilən Məbləğ"
"Compensatory Off","Əvəzçilik İstirahəti"
"Contact Number","Əlaqə Nömrəsi"
"Course","Kurs"
"Create Disbursement Entry","Ödəniş Qeydi Yarat"
"Create Salary Slip","Əmək Haqqı Qəbzi Yarat"
"Create Salary Slips","Əmək Haqqı Qəbzləri Yarat"
"Creating Payment Entries......","Ödəniş Qeydləri yaradılır......"
"Creating Salary Slips...","Əmək Haqqı Qəbzləri yaradılır..."
"Current","Cari"
"Current Job Openings","Cari Vakansiyalar"
"Daily Work Summary","Gündəlik İş Xülasəsi"
"Daily Work Summary Group","Gündəlik İş Xülasəsi Qrupu"
"Date is repeated","Tarix təkrarlanır"
"Debit A/C Number","Debet Hesab Nömrəsi"
"Deduction","Tutulma"
"Document Status","Sənəd Statusu"
"Earning","Qazanc"
"Employee A/C Number","İşçi Hesab Nömrəsi"
"Employee Benefits","İşçi Müavinətləri"
"Employee Grade","İşçi Dərəcəsi"
"Employee Referral","İşçinin müraciəti"
"Employee relieved on {0} must be set as 'Left'","{0} tarixində işdən azad olunan işçi 'Tərk etmiş' kimi qeyd edilməlidir"
"Employee {0} already submited an apllication {1} for the payroll period {2}","İşçi {0} maaş dövrü {2} üçün artıq {1} müraciətini təqdim edib"
"Employee {0} has no maximum benefit amount","İşçi {0} üçün maksimum müavinət məbləği yoxdur"
